No.,Group,TAG NO.,PHD Tag,MEASURING POINT,"CONTROL LOGIC CHECK
 Number","CROSS REF.  (DEVIATION CHECK)
 Number",NaN Check,Overange Check,Instrument Range Validation,Frozen check (5 min configurable),Rate of Change check,Travelling Check,"CROSS REF. (DEVIATION CHECK)
 Tagname","CONTROL LOGIC CHECK
 Tagname",Remark (Điều kiện bình thường),Not now,Not1now1
1,G6,FIT_2180,HT_FI_2180.PV,RD COMP. SUCTION,1,,Y,"0, 1000",,Y,Pressure,,,FCV-2180/FIT-2180,FY-2180 Tăng (open) --> FI-2180 tăng,,
115,Other,FY_2180,HT_FY_2180.PV,Positioner Flow Control Valve,1,,Y,"0, 100",,Y,Pressure,,,FT-2180,FY-2180 Tăng (open) --> FI-2180 tăng,,
3,G6,FIT_2190,HT_FI_2190.PV,RD COMP. PRIMARY SEAL LEAKAGE DE,2,,Y,"0, 1000","0,0,0,100,300,790",Y,Pressure,,,PCV-2191C/FIT-2190/FIT-2191,PY-2191C Tăng --> FI-2190 tăng,,
4,G6,FIT_2191,HT_FI_2191.PV,RD COMP. PRIMARY SEAL LEAKAGE NDE,2,,Y,"0, 1000","0,0,0,100,300,790",Y,Pressure,,,PCV-2191C/FIT-2190/FIT-2191,PY-2191C Tăng --> FIT-2191 tăng,,
118,Other,PCV_2191C,HT_PY_2191C.PV,Pressure Control Valve MP Flash Gas Compressor Skid,2,,Y,"0, 100","0,0,0,5,20,40",Y,Pressure,,,PCV-2191C/FIT-2190/FIT-2191,PY-2191C Tăng --> FIT-2191 tăng,,
10,G6,PDT_2163,HT_PDI_2163.PV,RD COMP. DISCHARGE,3,,Y,"0, 2",,Y,Pressure,,,PDT-2163/SDV-2160/SDV-2162,"HT-SDV-2162 change state close to open but PDT-2163 not decrease
 HT-SDV-2160 Open, PDT-2163 must be around zero",,y
126,Other,SDV_2160_GSC,HT_SDV_2160_GSC.PV,SHUTDOWN VALVE,3,,Y,Y,,Y,,1,,PDT-2163/SDV-2160/SDV-2162,"HT-SDV-2162 change state close to open but PDT-2163 not decrease
 HT-SDV-2160 Open, PDT-2163 must be around zero",,x
127,Other,SDV_2160_GSC,HT_SDV_2160_GSC.PV,SHUTDOWN VALVE,3,,Y,Y,,Y,,1,,PDT-2163/SDV-2160/SDV-2162,"HT-SDV-2162 change state close to open but PDT-2163 not decrease
 HT-SDV-2160 Open, PDT-2163 must be around zero",,x
130,Other,SDV_2162_GSC,HT_SDV_2162_GSC.PV,SHUTDOWN VALVE,3,,Y,Y,,Y,,3,,PDT-2163/SDV-2160/SDV-2162,"HT-SDV-2162 change state close to open but PDT-2163 not decrease
 HT-SDV-2160 Open, PDT-2163 must be around zero",,x
131,Other,SDV_2162_GSO,HT_SDV_2162_GSO.PV,SHUTDOWN VALVE,3,,Y,Y,,Y,,3,,PDT-2163/SDV-2160/SDV-2162,"HT-SDV-2162 change state close to open but PDT-2163 not decrease
 HT-SDV-2160 Open, PDT-2163 must be around zero",,x
12,G6,PDT_2181,HT_PDI_2181.PV,RD COMP. DISCHARGE,4,,Y,"0, 2",,Y,Pressure,,,SDV-2181,When HT-SDV-2181 change state close to open but PDT-2181 not decrease,,y
134,Other,SDV_2181_GSC,HT_SDV_2181_GSC.PV,SHUTDOWN VALVE,4,,Y,Y,,Y,,5,,PDT-2181/SDV-2181,When HT-SDV-2181 change state close to open but PDT-2181 not decrease,,x
135,Other,SDV_2181_GSO,HT_SDV_2181_GSO.PV,SHUTDOWN VALVE,4,,Y,Y,,Y,,5,,PDT-2181/SDV-2181,When HT-SDV-2181 change state close to open but PDT-2181 not decrease,,x
13,Unknown,PM_2180A,HT_PM_2180A.PV,,5,,,,,,,,,PM-2180 A/B/C,Pump start status (signal from Dynamo/PHD) but PIT-2181 not increase,,x
14,Unknown,PM_2180B,HT_PM_2180B.PV,,5,,,,,,,,,PM-2180 A/B/C,Pump start status (signal from Dynamo/PHD) but PIT-2181 not increase,,x
15,Unknown,PM_2180C,HT_PM_2180C.PV,,5,,,,,,,,,PM-2180 A/B/C,Pump start status (signal from Dynamo/PHD) but PIT-2181 not increase,,x
16,G1,PIT_2181,HT_PI_2181.PV,LUBE OIL LINE,5,,Y,"0, 10","1.2,2.6,3.8,4.3,4.3,4.3",Y,Pressure,,,PM-2180 A/B/C,Pump start status (signal from Dynamo/PHD) but PIT-2181 not increase,,
17,G1,PIT_2183A,HT_PI_2183A.PV,TESTING LINE LUBE OIL PUMP,5,,Y,"0, 10",,Y,Pressure,,,PM-2180 A/B/C,Pump start status (signal from Dynamo/PHD) but PIT-2183 not increase,,y
34,G1,PT_2182,HT_PT_2182.PV,RD COMP. DISCHARGE,6,22,Y,"0, 50","40,44,47,58,61,65",Y,Pressure,,PT/PZT-2182,,BDV-2182 open but PT-2182 not zero,,y
113,Other,BDV_2182,HT_BDV_2182.PV,BLOW DOWN VALVE,6,,Y,,,Y,,,,PT-2182,BDV-2182 open but PT-2182 not zero,,x
105,G4,LZT_2171,HT_LI_2171.PV,SUCTION SCRUBBER,7,20,Y,"0, 100",,Y,Pressure,,LT-2170/LZT-2171/LZT-2172,,Check LCV-2170 Open but LZT-2170 not decrease,,y
117,G4,LT_2170,HT_LT_2170.PV,Level Transmitter MP Flash Gas Compressor Suction Scrubber HT-V-2170,7,20,Y,"0, 100",,Y,Pressure,,LT-2170/LZT-2171/LZT-2172,LCV-2170,"Check LCV-2170 Open but LZT-2170 not decrease, LZT-2170 decrease but LCV-2170 close",,x
