,index,result,table,_field,_value,_time,derivative
0,0,_result,0,HT_FY_2180.PV,11.092068965517242,2022-11-17 14:56:00+00:00,0.0
1,1,_result,0,HT_FY_2180.PV,11.318333333333333,2022-11-17 14:57:00+00:00,0.0
2,2,_result,0,HT_FY_2180.PV,11.328000000000001,2022-11-17 14:58:00+00:00,0.8797954367674348
3,3,_result,0,HT_FY_2180.PV,11.103,2022-11-17 14:59:00+00:00,0.8797954367674348
4,4,_result,0,HT_FY_2180.PV,11.245000000000001,2022-11-17 15:00:00+00:00,0.0
5,5,_result,0,HT_FY_2180.PV,11.33413793103448,2022-11-17 15:01:00+00:00,0.0
6,6,_result,0,HT_FY_2180.PV,11.287241379310345,2022-11-17 15:02:00+00:00,-1.9491509317998663
7,7,_result,0,HT_FY_2180.PV,11.282758620689656,2022-11-17 15:03:00+00:00,-1.9491509317998663
8,8,_result,0,HT_FY_2180.PV,11.0475,2022-11-17 15:04:00+00:00,0.0
9,9,_result,0,HT_FY_2180.PV,11.746470588235294,2022-11-17 15:04:43.297180+00:00,0.0
10,10,_result,1,HT_VI_2183A.PV,9.684117647058823,2022-11-17 14:56:00+00:00,0.0
11,11,_result,1,HT_VI_2183A.PV,9.682,2022-11-17 14:57:00+00:00,0.0
12,12,_result,1,HT_VI_2183A.PV,9.14529411764706,2022-11-17 14:58:00+00:00,0.22677022287638948
13,13,_result,1,HT_VI_2183A.PV,9.148823529411766,2022-11-17 14:59:00+00:00,0.22677022287638948
14,14,_result,1,HT_VI_2183A.PV,9.34,2022-11-17 15:00:00+00:00,0.0
15,15,_result,1,HT_VI_2183A.PV,9.380588235294118,2022-11-17 15:01:00+00:00,0.0
16,16,_result,1,HT_VI_2183A.PV,9.518823529411764,2022-11-17 15:02:00+00:00,-1.4125565662668502
17,17,_result,1,HT_VI_2183A.PV,9.676666666666668,2022-11-17 15:03:00+00:00,-1.4125565662668502
18,18,_result,1,HT_VI_2183A.PV,9.222857142857142,2022-11-17 15:04:00+00:00,0.0
19,19,_result,1,HT_VI_2183A.PV,8.712,2022-11-17 15:04:43.297180+00:00,0.0
20,20,_result,2,HT_VI_2183B.PV,12.514705882352942,2022-11-17 14:56:00+00:00,0.0
21,21,_result,2,HT_VI_2183B.PV,12.71125,2022-11-17 14:57:00+00:00,0.0
22,22,_result,2,HT_VI_2183B.PV,11.466470588235294,2022-11-17 14:58:00+00:00,1.7131991622320564
23,23,_result,2,HT_VI_2183B.PV,11.77764705882353,2022-11-17 14:59:00+00:00,1.7131991622320564
24,24,_result,2,HT_VI_2183B.PV,11.9275,2022-11-17 15:00:00+00:00,0.0
25,25,_result,2,HT_VI_2183B.PV,12.444705882352944,2022-11-17 15:01:00+00:00,0.0
26,26,_result,2,HT_VI_2183B.PV,12.139411764705883,2022-11-17 15:02:00+00:00,-0.11198687815222241
27,27,_result,2,HT_VI_2183B.PV,12.686875,2022-11-17 15:03:00+00:00,-0.11198687815222241
28,28,_result,2,HT_VI_2183B.PV,11.5125,2022-11-17 15:04:00+00:00,0.0
29,29,_result,2,HT_VI_2183B.PV,10.251999999999999,2022-11-17 15:04:43.297180+00:00,0.0
30,30,_result,3,HT_VI_2184A.PV,4.986153846153846,2022-11-17 14:56:00+00:00,0.0
31,31,_result,3,HT_VI_2184A.PV,5.010000000000001,2022-11-17 14:57:00+00:00,0.0
32,32,_result,3,HT_VI_2184A.PV,5.010833333333333,2022-11-17 14:58:00+00:00,1.6592805897056562
33,33,_result,3,HT_VI_2184A.PV,5.015,2022-11-17 14:59:00+00:00,1.6592805897056562
34,34,_result,3,HT_VI_2184A.PV,5.006666666666667,2022-11-17 15:00:00+00:00,0.0
35,35,_result,3,HT_VI_2184A.PV,4.9775,2022-11-17 15:01:00+00:00,0.0
36,36,_result,3,HT_VI_2184A.PV,5.0024999999999995,2022-11-17 15:02:00+00:00,-0.8284245552755511
37,37,_result,3,HT_VI_2184A.PV,4.962727272727273,2022-11-17 15:03:00+00:00,-0.8284245552755511
38,38,_result,3,HT_VI_2184A.PV,4.989999999999999,2022-11-17 15:04:00+00:00,0.0
39,39,_result,3,HT_VI_2184A.PV,4.970000000000001,2022-11-17 15:04:43.297180+00:00,0.0
40,40,_result,4,HT_VI_2184B.PV,5.473,2022-11-17 14:56:00+00:00,0.0
41,41,_result,4,HT_VI_2184B.PV,5.52,2022-11-17 14:57:00+00:00,0.0
42,42,_result,4,HT_VI_2184B.PV,5.478,2022-11-17 14:58:00+00:00,0.3256994574126124
43,43,_result,4,HT_VI_2184B.PV,5.486,2022-11-17 14:59:00+00:00,0.3256994574126124
44,44,_result,4,HT_VI_2184B.PV,5.483,2022-11-17 15:00:00+00:00,0.0
45,45,_result,4,HT_VI_2184B.PV,5.472999999999999,2022-11-17 15:01:00+00:00,0.0
46,46,_result,4,HT_VI_2184B.PV,5.473333333333334,2022-11-17 15:02:00+00:00,-0.7891747342650399
47,47,_result,4,HT_VI_2184B.PV,5.4653846153846155,2022-11-17 15:03:00+00:00,-0.7891747342650399
48,48,_result,4,HT_VI_2184B.PV,5.488461538461538,2022-11-17 15:04:00+00:00,0.0
49,49,_result,4,HT_VI_2184B.PV,5.473333333333333,2022-11-17 15:04:43.297180+00:00,0.0
50,50,_result,5,HT_VI_2187A.PV,10.942941176470589,2022-11-17 14:56:00+00:00,0.0
51,51,_result,5,HT_VI_2187A.PV,11.237333333333334,2022-11-17 14:57:00+00:00,0.0
52,52,_result,5,HT_VI_2187A.PV,10.323529411764708,2022-11-17 14:58:00+00:00,1.1302711187460062
53,53,_result,5,HT_VI_2187A.PV,10.424117647058823,2022-11-17 14:59:00+00:00,1.1302711187460062
54,54,_result,5,HT_VI_2187A.PV,10.655000000000001,2022-11-17 15:00:00+00:00,0.0
55,55,_result,5,HT_VI_2187A.PV,10.977058823529413,2022-11-17 15:01:00+00:00,0.0
56,56,_result,5,HT_VI_2187A.PV,10.769999999999998,2022-11-17 15:02:00+00:00,-1.7239603401079493
57,57,_result,5,HT_VI_2187A.PV,10.893749999999999,2022-11-17 15:03:00+00:00,-1.7239603401079493
58,58,_result,5,HT_VI_2187A.PV,10.686250000000001,2022-11-17 15:04:00+00:00,0.0
59,59,_result,5,HT_VI_2187A.PV,10.227,2022-11-17 15:04:43.297180+00:00,0.0
60,60,_result,6,HT_VI_2187B.PV,11.850588235294117,2022-11-17 14:56:00+00:00,0.0
61,61,_result,6,HT_VI_2187B.PV,12.049375000000001,2022-11-17 14:57:00+00:00,0.0
62,62,_result,6,HT_VI_2187B.PV,10.965882352941176,2022-11-17 14:58:00+00:00,0.15481445478443967
63,63,_result,6,HT_VI_2187B.PV,11.095,2022-11-17 14:59:00+00:00,0.15481445478443967
64,64,_result,6,HT_VI_2187B.PV,11.421875,2022-11-17 15:00:00+00:00,0.0
65,65,_result,6,HT_VI_2187B.PV,11.55235294117647,2022-11-17 15:01:00+00:00,0.0
66,66,_result,6,HT_VI_2187B.PV,11.660625,2022-11-17 15:02:00+00:00,-0.02628393254571959
67,67,_result,6,HT_VI_2187B.PV,11.87875,2022-11-17 15:03:00+00:00,-0.02628393254571959
68,68,_result,6,HT_VI_2187B.PV,11.356875,2022-11-17 15:04:00+00:00,0.0
69,69,_result,6,HT_VI_2187B.PV,10.416,2022-11-17 15:04:43.297180+00:00,0.0
70,70,_result,7,HT_VI_2188A.PV,3.3049999999999997,2022-11-17 14:56:00+00:00,0.0
71,71,_result,7,HT_VI_2188A.PV,3.406666666666667,2022-11-17 14:57:00+00:00,0.0
72,72,_result,7,HT_VI_2188A.PV,3.43375,2022-11-17 14:58:00+00:00,1.8035705409720222
73,73,_result,7,HT_VI_2188A.PV,3.4299999999999997,2022-11-17 14:59:00+00:00,1.8035705409720222
74,74,_result,7,HT_VI_2188A.PV,3.39,2022-11-17 15:00:00+00:00,0.0
75,75,_result,7,HT_VI_2188A.PV,3.405,2022-11-17 15:01:00+00:00,0.0
76,76,_result,7,HT_VI_2188A.PV,3.4150000000000005,2022-11-17 15:02:00+00:00,-1.372110269757515
77,77,_result,7,HT_VI_2188A.PV,3.425,2022-11-17 15:03:00+00:00,-1.372110269757515
78,78,_result,7,HT_VI_2188A.PV,3.41,2022-11-17 15:04:00+00:00,0.0
79,79,_result,7,HT_VI_2188A.PV,3.4233333333333333,2022-11-17 15:04:43.297180+00:00,0.0
80,80,_result,8,HT_VI_2188B.PV,5.805833333333332,2022-11-17 14:56:00+00:00,0.0
81,81,_result,8,HT_VI_2188B.PV,5.7988888888888885,2022-11-17 14:57:00+00:00,0.0
82,82,_result,8,HT_VI_2188B.PV,5.819285714285713,2022-11-17 14:58:00+00:00,1.2974321457946405
83,83,_result,8,HT_VI_2188B.PV,5.843571428571428,2022-11-17 14:59:00+00:00,1.2974321457946405
84,84,_result,8,HT_VI_2188B.PV,5.795454545454546,2022-11-17 15:00:00+00:00,0.0
85,85,_result,8,HT_VI_2188B.PV,5.828666666666666,2022-11-17 15:01:00+00:00,0.0
86,86,_result,8,HT_VI_2188B.PV,5.813333333333333,2022-11-17 15:02:00+00:00,-0.7476952587797832
87,87,_result,8,HT_VI_2188B.PV,5.8684615384615375,2022-11-17 15:03:00+00:00,-0.7476952587797832
88,88,_result,8,HT_VI_2188B.PV,5.844444444444445,2022-11-17 15:04:00+00:00,0.0
89,89,_result,8,HT_VI_2188B.PV,5.852857142857142,2022-11-17 15:04:43.297180+00:00,0.0
90,90,_result,9,HT_ZI_2180A.PV,-0.1316504153846154,2022-11-17 14:56:00+00:00,0.0
91,91,_result,9,HT_ZI_2180A.PV,-0.1317869,2022-11-17 14:57:00+00:00,0.0
92,92,_result,9,HT_ZI_2180A.PV,-0.13197224666666668,2022-11-17 14:58:00+00:00,1.643063869602972
93,93,_result,9,HT_ZI_2180A.PV,-0.13187669999999999,2022-11-17 14:59:00+00:00,1.643063869602972
94,94,_result,9,HT_ZI_2180A.PV,-0.1319353666666667,2022-11-17 15:00:00+00:00,0.0
95,95,_result,9,HT_ZI_2180A.PV,-0.13180846428571427,2022-11-17 15:01:00+00:00,0.0
96,96,_result,9,HT_ZI_2180A.PV,-0.13190811874999997,2022-11-17 15:02:00+00:00,-1.5456271309980862
97,97,_result,9,HT_ZI_2180A.PV,-0.13182061538461537,2022-11-17 15:03:00+00:00,-1.5456271309980862
98,98,_result,9,HT_ZI_2180A.PV,-0.13147246923076922,2022-11-17 15:04:00+00:00,0.0
99,99,_result,9,HT_ZI_2180A.PV,-0.13144927777777773,2022-11-17 15:04:43.297180+00:00,0.0
100,100,_result,10,HT_ZI_2180B.PV,-0.11826697857142857,2022-11-17 14:56:00+00:00,0.0
101,101,_result,10,HT_ZI_2180B.PV,-0.11836036428571428,2022-11-17 14:57:00+00:00,0.0
102,102,_result,10,HT_ZI_2180B.PV,-0.11852560833333332,2022-11-17 14:58:00+00:00,1.590111638920998
103,103,_result,10,HT_ZI_2180B.PV,-0.118619,2022-11-17 14:59:00+00:00,1.590111638920998
104,104,_result,10,HT_ZI_2180B.PV,-0.11852946923076922,2022-11-17 15:00:00+00:00,0.0
105,105,_result,10,HT_ZI_2180B.PV,-0.11845703636363637,2022-11-17 15:01:00+00:00,0.0
