_time,HT_FI_2180.PV,HT_FI_2188.PV,HT_FI_2190.PV,HT_FI_2191.PV,HT_FY_2180.PV,HT_PDI_2180.PV,HT_PDI_2183.PV,HT_PDI_2185.PV,HT_PI_2181.PV,HT_PI_2182.PV,HT_PI_2183B.PV,HT_PI_2184A.PV,HT_PI_2185A.PV,HT_PI_2187.PV,HT_PI_2189A.PV,HT_PI_2190A.PV,HT_PI_2191B.PV,HT_PI_2191C.PV,HT_PI_2192A.PV,HT_PY_2191C.PV,HT_TI_2173A.PV,HT_TI_2173B.PV,HT_TI_2174A.PV,HT_TI_2175A.PV,HT_TI_2176A.PV,HT_TI_2176B.PV,HT_TI_2176C.PV,HT_TI_2176D.PV,HT_TI_2177A.PV,HT_TI_2178A.PV,HT_TI_2179A.PV,HT_TI_2179B.PV,HT_TI_2179C.PV,HT_TI_2179D.PV,HT_TI_2180.PV,HT_TI_2181.PV,HT_TI_2182.PV,HT_TI_2183A.PV,HT_TI_2185A.PV,HT_TI_2186A.PV,HT_TI_2186C.PV,HT_TI_2186E.PV,HT_TI_2187A.PV,HT_TI_2188A.PV,HT_TI_2189A.PV,HT_TI_2190.PV,HT_TI_2191.PV,HT_VI_2183A.PV,HT_VI_2183B.PV,HT_VI_2184A.PV,HT_VI_2184B.PV,HT_VI_2187A.PV,HT_VI_2187B.PV,HT_VI_2188A.PV,HT_VI_2188B.PV,HT_XE_2180A.PV,HT_XE_2180B.PV,HT_ZI_2180A.PV,HT_ZI_2180B.PV,HT_ZI_2181A.PV,HT_ZI_2181B.PV
2022-10-05 02:09:51+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-10-05 02:09:52+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-10-05 02:09:53+00:00,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-10-05 02:09:54+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-10-05 02:09:55+00:00,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2022-10-05 02:09:56+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-10-05 02:09:57+00:00,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-10-05 02:09:58+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-10-05 02:09:59+00:00,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
2022-10-05 02:10:00+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-10-05 02:10:01+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-10-05 02:10:02+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-10-05 02:10:03+00:00,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1
2022-10-05 02:10:04+00:00,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
2022-10-05 02:10:05+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
