No.,Group,TAG NO.,PHD Tag,MEASURING POINT,"CROSS REF.  (DEVIATION CHECK)
 Number","CROSS REF. (DEVIATION CHECK)
 Tagname","CONTROL LOGIC CHECK
 Number","CONTROL LOGIC CHECK
 Tagname",NaN Check,Overange Check,Instrument Range Validation,Frozen check,Rate of Change check,Travelling Check,Remark
1,G6,FIT_2180,,RD COMP. SUCTION,,,1,FCV-2180/FIT-2180,Y,Y,Y,Y,,,FCV-2180 Open but FT-2180 not decrease
2,G6,FIT_2188,,RD COMP. BALANCE PISTON LEAKAGE,,,,,Y,Y,Y,Y,,,
3,G6,FIT_2190,,RD COMP. PRIMARY SEAL LEAKAGE DE,,,2,PCV-2191C/FIT-2190/FIT-2191,Y,Y,Y,Y,,,PCV-2191C Open more but FIT-2190 not increase
4,G6,FIT_2191,,RD COMP. PRIMARY SEAL LEAKAGE NDE,,,2,PCV-2191C/FIT-2190/FIT-2191,Y,Y,Y,Y,,,PCV-2191C Open more but FIT-2191 not increase
5,G4,LIT_2180A,,OIL RESERVOIR,1,LIT-2180 A/B,,,Y,Y,Y,Y,,,
6,G4,LIT_2180B,,OIL RESERVOIR,1,LIT-2180 A/B,,,Y,Y,Y,Y,,,
7,G6,PDIT_2183,,RD COMP. SEAL GAS FILTER,,,,,Y,Y,Y,Y,,,
8,G6,PDIT_2184,,RD COMP. INSTRUMENT AIR FILTER,,,,,Y,Y,Y,Y,,,
9,G6,PDIT_2185,,OIL FILTER,,,,,Y,Y,Y,Y,,,
10,G6,PDT_2163,,RD COMP. DISCHARGE,,,3,PDT-2163/SDV-2160/SDV-2162,Y,Y,,Y,,,"HT-SDV-2162 change state close to open but PDT-2163 not decrease
 HT-SDV-2160 Open, PDT-2163 must be around zero"
11,G6,PDT_2180,,RD COMP. SUCTION,,,,,Y,Y,Y,Y,,,
12,G6,PDT_2181,,RD COMP. DISCHARGE,,,4,SDV-2181,Y,Y,,Y,,,When HT-SDV-2181 change state close to open but PDT-2181 not decrease
13,,PM_2180A,,,,,5,PM-2180 A/B/C,,,,,,,Pump start status (signal from Dynamo/PHD) but PIT-2181 not increase
14,,PM_2180B,,,,,5,PM-2180 A/B/C,,,,,,,Pump start status (signal from Dynamo/PHD) but PIT-2181 not increase
15,,PM_2180C,,,,,5,PM-2180 A/B/C,,,,,,,Pump start status (signal from Dynamo/PHD) but PIT-2181 not increase
16,G1,PIT_2181,,LUBE OIL LINE,,,5,PM-2180 A/B/C,Y,Y,Y,Y,,,Pump start status (signal from Dynamo/PHD) but PIT-2181 not increase
17,G1,PIT_2183A,,TESTING LINE LUBE OIL PUMP,,,5,PM-2180 A/B/C,Y,Y,,Y,,,Pump start status (signal from Dynamo/PHD) but PIT-2183 not increase
18,G1,PIT_2183B,,TESTING LINE EMERGENCY LUBE OIL PUMP,,,,,Y,Y,,Y,,,
19,G1,PIT_2184A,,RD COMP. SECONDARY SEAL DE,2,PIT-2184 A/B,,,Y,Y,Y,Y,,,
20,G1,PIT_2184B,,RD COMP. SECONDARY SEAL DE,2,PIT-2184 A/B,,,Y,Y,Y,Y,,,
21,G1,PIT_2185A,,RD COMP. SECONDARY SEAL NDE,3,PIT-2185 A/B,,,Y,Y,Y,Y,,,
22,G1,PIT_2185B,,RD COMP. SECONDARY SEAL NDE,4,PIT-2185 A/B,,,Y,Y,Y,Y,,,
23,G1,PIT_2187,,OIL HEADER,5,PIT-2188/2187,,,Y,Y,Y,Y,,,
24,G1,PIT_2188,,OIL HEADER,5,PIT-2188/2188,,,Y,Y,Y,Y,,,
25,G1,PIT_2189A,,RD COMP. SEPARATION GAS SUPPLY,6,PIT-2189 A/B,,,Y,Y,Y,Y,,,
26,G1,PIT_2189B,,RD COMP. SEPARATION GAS SUPPLY,6,PIT-2189 A/B,,,Y,Y,Y,Y,,,
27,G1,PIT_2190A,,RD COMP. SEALGAS SUPPLY,,,,,Y,Y,Y,Y,,,
28,G1,PIT_2191A,,RD COMP. PRIMARY SEAL LEAKAGE DE,7,PIT-2191A/B,,,Y,Y,Y,Y,,,
29,G1,PIT_2191B,,RD COMP. PRIMARY SEAL LEAKAGE DE,7,PIT-2191A/B,,,Y,Y,Y,Y,,,
30,G1,PIT_2191C,,RD COMP. PRIMARY SEAL LEAKAGE,8,PIT-2191C so sánh với phần lớn hơn của PIT-2191A/B và PIT-2192A/B,,,Y,Y,Y,Y,,,PIT-2191C so sánh với phần lớn hơn của PIT-2191A/B và PIT-2192A/B
31,G1,PIT_2192A,,RD COMP. PRIMARY SEAL LEAKAGE NDE,"8,9",PIT-2192A/B,,,Y,Y,Y,Y,,,
32,G1,PIT_2192B,,RD COMP. PRIMARY SEAL LEAKAGE NDE,"8,9",PIT-2192A/B,,,Y,Y,Y,Y,,,
