,index,result,table,_field,_value,_time,derivative
0,0,_result,0,HT_FY_2180.PV,11.366206896551724,2022-11-17 15:08:00+00:00,0.0
50,50,_result,5,HT_VI_2187A.PV,11.26,2022-11-17 15:08:00+00:00,0.0
70,70,_result,7,HT_VI_2188A.PV,3.44,2022-11-17 15:08:00+00:00,0.0
80,80,_result,8,HT_VI_2188B.PV,5.8808333333333325,2022-11-17 15:08:00+00:00,0.0
40,40,_result,4,HT_VI_2184B.PV,5.497777777777777,2022-11-17 15:08:00+00:00,0.0
90,90,_result,9,HT_ZI_2180A.PV,-0.13154985833333332,2022-11-17 15:08:00+00:00,0.0
30,30,_result,3,HT_VI_2184A.PV,4.98,2022-11-17 15:08:00+00:00,0.0
100,100,_result,10,HT_ZI_2180B.PV,-0.11814005833333334,2022-11-17 15:08:00+00:00,0.0
20,20,_result,2,HT_VI_2183B.PV,12.581176470588236,2022-11-17 15:08:00+00:00,0.0
110,110,_result,11,HT_ZI_2181A.PV,-0.16064425714285716,2022-11-17 15:08:00+00:00,0.0
60,60,_result,6,HT_VI_2187B.PV,11.995882352941177,2022-11-17 15:08:00+00:00,0.0
10,10,_result,1,HT_VI_2183A.PV,9.598823529411765,2022-11-17 15:08:00+00:00,0.0
120,120,_result,12,HT_ZI_2181B.PV,-0.14588153125,2022-11-17 15:08:00+00:00,0.0
11,11,_result,1,HT_VI_2183A.PV,9.928666666666667,2022-11-17 15:09:00+00:00,0.0
51,51,_result,5,HT_VI_2187A.PV,11.81625,2022-11-17 15:09:00+00:00,0.0
1,1,_result,0,HT_FY_2180.PV,11.189,2022-11-17 15:09:00+00:00,0.0
71,71,_result,7,HT_VI_2188A.PV,3.4275,2022-11-17 15:09:00+00:00,0.0
41,41,_result,4,HT_VI_2184B.PV,5.507272727272727,2022-11-17 15:09:00+00:00,0.0
81,81,_result,8,HT_VI_2188B.PV,5.91,2022-11-17 15:09:00+00:00,0.0
31,31,_result,3,HT_VI_2184A.PV,5.056666666666667,2022-11-17 15:09:00+00:00,0.0
61,61,_result,6,HT_VI_2187B.PV,12.728750000000002,2022-11-17 15:09:00+00:00,0.0
121,121,_result,12,HT_ZI_2181B.PV,-0.1457855181818182,2022-11-17 15:09:00+00:00,0.0
101,101,_result,10,HT_ZI_2180B.PV,-0.1181503923076923,2022-11-17 15:09:00+00:00,0.0
91,91,_result,9,HT_ZI_2180A.PV,-0.13163495384615384,2022-11-17 15:09:00+00:00,0.0
21,21,_result,2,HT_VI_2183B.PV,13.83375,2022-11-17 15:09:00+00:00,0.0
111,111,_result,11,HT_ZI_2181A.PV,-0.16057894545454546,2022-11-17 15:09:00+00:00,0.0
102,102,_result,10,HT_ZI_2180B.PV,-0.11831285384615385,2022-11-17 15:10:00+00:00,1.8992942475633847
112,112,_result,11,HT_ZI_2181A.PV,-0.16022868461538461,2022-11-17 15:10:00+00:00,0.6991071866653016
72,72,_result,7,HT_VI_2188A.PV,3.3899999999999997,2022-11-17 15:10:00+00:00,1.4126528943386443
82,82,_result,8,HT_VI_2188B.PV,5.959999999999999,2022-11-17 15:10:00+00:00,1.7485244674289708
2,2,_result,0,HT_FY_2180.PV,11.015333333333333,2022-11-17 15:10:00+00:00,1.4428503837759332
12,12,_result,1,HT_VI_2183A.PV,10.038235294117646,2022-11-17 15:10:00+00:00,0.011918757800111424
42,42,_result,4,HT_VI_2184B.PV,5.477777777777778,2022-11-17 15:10:00+00:00,0.7652300995258268
52,52,_result,5,HT_VI_2187A.PV,11.588125000000002,2022-11-17 15:10:00+00:00,0.907021907956413
122,122,_result,12,HT_ZI_2181B.PV,-0.14548929333333332,2022-11-17 15:10:00+00:00,1.77028591527847
92,92,_result,9,HT_ZI_2180A.PV,-0.13170455384615384,2022-11-17 15:10:00+00:00,1.8878332869773105
62,62,_result,6,HT_VI_2187B.PV,12.887058823529411,2022-11-17 15:10:00+00:00,0.4544376084921806
22,22,_result,2,HT_VI_2183B.PV,13.462352941176471,2022-11-17 15:10:00+00:00,0.3199448118621988
32,32,_result,3,HT_VI_2184A.PV,5.009230769230769,2022-11-17 15:10:00+00:00,0.829009344745723
53,53,_result,5,HT_VI_2187A.PV,10.42470588235294,2022-11-17 15:11:00+00:00,0.907021907956413
13,13,_result,1,HT_VI_2183A.PV,9.054705882352941,2022-11-17 15:11:00+00:00,0.011918757800111424
